min_defect_area_px,component_min_area_px,lead_side_fraction,lead_top_fraction,morph_close_kernel,morph_open_kernel,precision,recall,f1,accuracy,tp,fp,tn,fn,fp_good,recall_cut
60.0,12.0,0.22,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.22,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.22,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.28,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.28,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.28,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.34,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.34,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,12.0,0.34,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.22,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.22,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.22,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.28,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.28,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.28,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.34,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.34,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,20.0,0.34,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.22,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.22,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.22,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.28,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.28,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.28,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.34,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.34,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
60.0,30.0,0.34,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.22,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.22,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.22,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.28,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.28,0.3,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.28,0.36,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
90.0,12.0,0.34,0.24,3.0,3.0,0.11688311688311688,1.0,0.20930232558139536,0.11688311688311688,9.0,68.0,0.0,0.0,50.0,1.0
